,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
442,sub-0550,-2.744,1.583,4.907,-2.723,1.578,3.008,3.442,0.778,50.744,5.341,0.695
443,sub-0551,-8.025,-1.014,5.058,-8.037,-1.081,2.429,4.575,0.527,52.877,1.495,1.488
444,sub-0552,-22.153,-1.968,8.534,-22.149,-1.965,7.299,3.861,0.338,46.459,1.884,1.461
445,sub-0553,-8.836,-7.645,11.345,-8.791,-7.573,6.944,8.104,0.229,62.708,1.074,4.778
446,sub-0554,-23.149,1.449,16.449,-23.052,1.435,15.646,4.74,0.279,52.825,3.492,1.161
447,sub-0555,-10.68,-11.332,5.489,-10.625,-11.331,2.517,6.746,0.477,38.416,1.339,1.666
448,sub-0556,-14.623,1.622,10.091,-14.632,1.596,6.513,6.696,0.56,45.687,2.365,0.994
449,sub-0557,-5.394,3.253,13.886,-5.473,3.259,11.04,7.048,0.502,69.228,4.856,2.148
450,sub-0558,-25.356,-1.413,17.024,-25.426,-1.378,13.846,8.478,0.275,54.238,2.004,2.87
451,sub-0560,-33.912,5.721,9.613,-33.902,5.709,8.699,3.561,0.237,36.859,2.026,1.665
452,sub-0561,-2.345,-1.021,11.187,-2.269,-1.006,6.869,7.853,0.947,74.279,15.43,0.621
453,sub-0562,-4.441,1.248,12.962,-4.384,1.253,12.394,3.287,0.864,52.079,14.001,0.1
454,sub-0563,-14.611,2.364,7.215,-14.631,2.338,3.983,5.745,0.26,57.169,1.058,3.912
455,sub-0564,2.177,1.367,5.049,2.151,1.402,2.604,4.378,0.956,100.228,10.905,0.579
456,sub-0565,-3.103,2.222,10.225,-3.065,2.217,7.218,6.252,0.603,68.607,8.108,2.28
457,sub-0566,-30.874,-2.044,13.665,-30.767,-2.04,12.443,4.615,0.219,35.465,2.746,1.475
458,sub-0570,-30.238,2.771,11.521,-30.291,2.802,10.427,4.226,0.391,35.315,3.78,0.21
459,sub-0571,0.264,3.124,12.941,0.23,3.065,10.877,5.665,0.919,83.615,15.939,0.43
460,sub-0572,-0.294,-0.705,7.979,-0.308,-0.664,4.925,5.725,0.963,79.951,16.012,0.576
461,sub-0574,-18.06,-1.156,15.728,-18.114,-1.171,15.623,1.643,0.2,58.714,3.475,0.115
462,sub-0576,-6.679,4.471,12.704,-6.688,4.414,7.496,9.485,0.55,60.846,4.382,2.426
463,sub-0577,-33.986,-5.592,7.817,-35.639,-3.363,8.145,23.903,0.272,47.125,1.248,3.432
464,sub-0578,-22.828,-1.114,17.982,-22.776,-1.137,17.15,4.909,0.308,48.265,3.942,0.613
465,sub-0579,-2.628,4.9,10.225,-2.678,4.859,9.211,3.691,0.856,69.677,12.762,0.313
466,sub-0580,-20.184,1.513,19.148,-20.165,1.527,18.017,5.264,0.122,72.616,1.739,4.901
467,sub-0581,-24.291,-1.777,24.96,-24.209,-1.764,24.662,4.289,0.313,52.176,6.486,0.09
468,sub-0582,2.415,0.206,10.541,2.423,0.19,8.344,5.475,0.127,66.458,1.367,8.027
469,sub-0583,-11.564,6.187,15.954,-11.52,6.192,14.595,5.518,0.624,54.351,6.217,0.228
470,sub-0584,-9.099,0.214,15.979,-9.107,0.192,14.734,5.505,0.748,50.058,8.615,0.131
471,sub-0585,-23.776,-1.449,13.043,-23.741,-1.452,11.623,5.281,0.422,50.368,3.211,1.16
